iteracion,valor,gen
2376,11.32550022218429,c3.4264199843552734 / c3.5010614765360257 + p1 
2377,4.2108703125844835,p27 - p15 / p28 * p33 + p3 + c2.2236351042670193 - c4.557744529328038 / p20 * p6 / c2.3919923987206215 
2378,14.876079937367024,c0.5794449185990269 + p32 / c4.906325622635618 + c0.8990113072574768 * p32 
2379,11.547997538491824,c0.4835985820545502 / p5 + p5 * p7 * c1.0969645961261771 / p7 
2380,6.8221292280331065,p32 - c2.8232590588153723 - c1.673246950735075 / p2 + c2.8737682301942806 
2381,3.9512332681530578,p5 / p28 * p16 
2382,3.9512332681530578,p5 / p28 * p16 
2383,2.1569456979818606,p32 - c2.8232590588153723 - c1.673246950735075 + c4.677196385767451 
2384,8.171450508207855,p0 + p10 - p33 - p11 - c0.6887341513445694 / p28 / p25 + p13 - p34 + p24 
2385,2.9566450494907124,c0.5794449185990269 / c4.906325622635618 / c1.033514865775228 + p10 
2386,2.0386944472862463,p21 - c0.11237916189779151 * c0.3544826924302452 
2387,2.6901570248501896,c1.8691718613784265 * p29 / p9 / p9 + p7 
2388,3.678373717760935,p16 - p30 * p0 / p0 + p13 
2389,4.096381736259959,p25 - c4.90876476239019 / p16 * p31 + c4.5965834629048 
2390,2.685238216535591,p8 + c2.5127038716884127 / p13 / p0 / p29 * c3.9072076901247637 * p11 * p1 / p1 
2391,2.1135662116913667,c1.8691718613784265 * p29 / p9 / p9 + p20 
2392,1.4457770531367797,c0.5794449185990269 / c4.906325622635618 / c1.033514865775228 / p29 + p30 
2393,2.0294727154762024,p21 - p23 / c0.7992425365674916 / p32 * c3.468499461653567 / p24 
2394,2.0169677051366284,p21 - p23 / c0.7992425365674916 / p32 * c3.468499461653567 / p24 / c2.3223830408294237 
2395,1.5064343084110627,p23 + p33 - p21 
2396,1.5064343084110627,p23 + p33 - p21 
2397,1.5064343084110627,p23 + p33 - p21 
2398,3.0834378803232196,c1.028611023185488 + p3 - p18 - p11 / p33 + p13 
2399,3.1908874237395746,p23 + p5 * c0.027210747550078795 
2400,5.7464595427529295,p13 * c1.02576004830352 + c1.0989976061959035 * p20 / p30 - c1.6645623556808054 
2401,3.568745969605664,p25 - p31 / p34 
2402,9.313534954841487,p7 - p7 + p3 + p7 / p21 - c2.8484777754714323 + p8 * p21 / p17 / p25 
2403,6.706856990942471,c1.3485445118065913 / p18 + p5 
2404,1.9964972913834171,p32 - c0.1705713139566689 / p32 
2405,1.9964972913834171,p32 - c0.1705713139566689 / p32 
2406,1.9964972913834171,p32 - c0.1705713139566689 / p32 
2407,9.28493083684754,p13 - p11 / p3 + c0.6685985401198496 / c4.6860482994408486 
2408,3.197039849390435,p17 + p5 - p22 
2409,3.197039849390435,p17 + p5 - p22 
2410,3.197039849390435,p17 + p5 - p22 
2411,3.4048749718503553,p4 / p34 + p12 / p16 * p22 - p12 / p3 * p10 / p18 
2412,5.227142012202365,p7 + p2 - p33 
2413,14.273752640118007,c1.8223509428236588 - p25 + p0 / p28 * p32 + p21 + p2 / p11 / c4.710848123103565 - c3.3937337997910113 
2414,7.262061832667049,c0.5781298494090137 * c2.5894631995545154 - c3.057010643151583 + c0.8568912090132597 + p11 
2415,13.609862072860263,c2.187416030688425 * p8 / c2.5316400917494306 
2416,2.697280063208576,p11 - c0.07460657326884945 * p22 / c3.3586145589142817 
2417,2.0295525678563218,c2.5127038716884127 / p9 + p22 
2418,4.332335928740144,c0.5781298494090137 * c2.5894631995545154 - c3.057010643151583 + c0.8568912090132597 + p11 / p31 + p26 
2419,2.0295525678563218,c2.5127038716884127 / p9 + p22 
2420,1.349712802315127,p13 / p10 * c0.0670507214165067 + p33 
2421,11.136142838355521,c2.5127038716884127 / p22 + p6 
2422,2.737612421895927,p11 / p7 * p2 
2423,4.398222701152391,p30 + c2.195374253565436 - p16 / p10 - c1.57326949248915 
2424,3.024196488289702,c1.100822984614633 / c0.33061200700591264 / p24 + p0 
