iteracion,valor,gen
1,32.03739988215402,p0 / p28 / p8 + p28 / c3.5124180535271705 + p5 
2,9.4853303515701,p0 / p28 / p8 + p28 / c3.5124180535271705 + p5 / c1.2936246944413987 
3,14.841406921657066,p27 / c0.6650608902650029 / p22 - c4.3998758359723595 + c1.414454647850747 + p30 
4,20.810650110536923,p0 - p18 + c0.29672942530472035 + c2.5526964015844102 - p32 - p31 / p26 + p33 * p21 / p8 - p33 + p27 + p6 
5,14.841406921657066,p27 / c0.6650608902650029 / p22 - c4.3998758359723595 + c1.414454647850747 + p30 
6,15.368671707620427,p12 - p18 / p19 * c4.872357778862064 + c3.089651917545995 / p19 
7,2.7014239772997533,p12 - p18 / p19 * c3.089651917545995 / p19 
8,2.7014239772997533,p12 - p18 / p19 * c3.089651917545995 / p19 
9,26.257232349472304,c2.3944847280796386 - p3 * p19 / p18 + p24 - p17 / p8 + p27 / c1.4138665918453115 / p33 + p13 - p30 / p26 / p22 - c3.84116066783759 
10,10.548657508564316,c0.5999302166492709 / c2.5573701562503164 / p1 - p5 / p17 + p17 
11,4.244354683756571,p0 / p28 / p8 / p5 / c1.2936246944413987 - p5 / p29 - p15 + p20 + p21 
12,11.306452814272006,p6 - p18 / p21 - c4.061078048567957 / p9 - p8 / p6 * p25 + p5 
13,29.244460596215127,p22 + c1.414454647850747 + p30 / p9 + c1.3265185291913313 
14,2.875245872338274,p18 / p21 - c4.061078048567957 / p9 - p8 / p6 + p5 
15,4.445718058828255,p0 / p28 / p8 / p5 / c1.2936246944413987 - p5 / p29 - p15 + p21 - p7 + p32 + p7 
16,6.587870710365416,c1.185696887995273 / c2.617529972815201 + p26 + c0.08589639333289101 * c0.9727196688117706 
17,14.680807323180456,p0 - c0.30131033527079965 / p25 / c1.3715887601332173 - c2.2714691463738443 - c4.462965203498238 + c4.919972576837485 + c2.9834738735439026 + c1.5709576551763011 + p17 - p5 * p31 / p25 * c1.187511150443445 / p17 - p23 
18,6.7249162045331214,c1.185696887995273 / c2.617529972815201 + p26 + c0.08589639333289101 * c1.1387937160638621 
19,6.131091537285212,c1.185696887995273 / c2.617529972815201 + p26 + c0.08589639333289101 * c1.1387937160638621 / p33 
20,5.95821087997155,c1.185696887995273 / c2.617529972815201 + p26 + c0.08589639333289101 * c1.1387937160638621 / p33 / p31 
21,47.15558913629227,c1.185696887995273 / c2.617529972815201 + p26 + c0.08589639333289101 * c1.1387937160638621 / p33 / p31 + c4.183621424719006 
22,3.4251016618167984,c1.185696887995273 / c2.617529972815201 + p26 + c0.08589639333289101 * c1.1387937160638621 / p33 / p31 + c4.183621424719006 - c4.971338456412232 
23,40.586443311542645,p8 / c2.560016748765727 + p21 + c2.357785929528861 / p9 * c1.042525741116962 
24,2.6280160253061013,p17 - p16 / p29 * c3.5744084488946966 / p6 
25,2.6280160253061013,p17 - p16 / p29 * c3.5744084488946966 / p6 
26,11.988358768807284,p17 - p16 / p29 * c3.5744084488946966 / p6 * p0 
27,2.6324189875939057,p17 - p16 / p29 * c3.5744084488946966 / p0 
28,11.26572189993496,p23 / p13 * p7 + p3 / p25 + c4.0483940820639805 / p23 - p28 - c1.1426805339743495 / c2.2590481200789685 / p18 / p1 / c3.79179450623153 * p28 * p34 / p18 + p17 
29,18.456225996877667,p23 / p13 * p7 + p3 / p25 / p23 - p28 - c1.1426805339743495 / c2.2590481200789685 / p18 / p1 / c3.79179450623153 * p28 * p34 / p18 + p17 
30,13.507516815294164,c0.5458210456132534 - c1.8331278821777692 + p31 + c4.983041890973331 - p31 + p13 / c3.6337430512106246 / c4.232423836497991 + p17 + c3.6685970201737943 - p2 / p13 - c3.0110916867902073 * c2.6400317876062256 
31,18.143402168138937,p10 - p6 / p16 + p32 / c4.811137102552936 
32,13.507516815294164,c0.5458210456132534 - c1.8331278821777692 + p31 + c4.983041890973331 - p31 + p13 / c3.6337430512106246 / c4.232423836497991 + p17 + c3.6685970201737943 - p2 / p13 - c3.0110916867902073 * c2.6400317876062256 
33,12.514262910740747,c0.7026917509713165 / p15 + p33 + c0.9098491917645068 * c1.09731061479396 
34,31.917536901558258,c0.30131033527079965 / c2.2714691463738443 - c2.9834738735439026 + p17 / c0.8678878379432797 - p0 / p27 
35,17.45801153942206,c2.2714691463738443 - c2.9834738735439026 + p17 / c0.8678878379432797 - p0 / p27 
36,20.437385723606667,c0.7026917509713165 / p15 + p33 + c0.9098491917645068 * c1.09731061479396 * c3.166115149806812 * c1.751276250540526 - c3.7298856418908293 
37,3.731294017147769,p3 + p1 * c0.06894434444290887 / p12 * p30 / c2.6467050983972236 
38,8.25040155043087,p0 - p22 * p10 / p14 / p3 / p16 / p32 / p29 - c0.16572877260416952 / c0.6006889202736176 + p2 / p20 
39,14.11230990126352,p0 - p22 * p10 / p14 / p3 / p16 / p32 / p29 - c0.16572877260416952 / c0.6006889202736176 + p2 / p20 + c0.6321315981160686 
40,14.11278111675292,p0 - p22 / p14 / p3 / p16 / p32 / p29 - c0.16572877260416952 / c0.6006889202736176 + p2 / p20 + c0.6321315981160686 
41,2.959952975736588,p1 * c0.06894434444290887 / p12 * p30 / c2.6467050983972236 - p15 + p33 + p20 
42,16.429584328270764,p30 - c1.6558603339498639 + p3 / p24 / p24 
43,3.878628008366295,c3.259109063087899 / c4.787899530977918 * p17 / c2.674018583604789 / p6 + p2 
44,9.860484923760852,p6 + c0.019149536726299488 - p23 / p15 + p6 / p29 
45,13.060467800376502,p30 - c1.6558603339498639 + p24 / p24 / p16 
46,13.060467800376502,p30 - c1.6558603339498639 + p24 / p24 / p16 
47,11.825855530123468,p0 - p22 / p14 / p16 / p32 / p29 - c0.16572877260416952 + c0.6321315981160686 - c1.5752613361683798 
48,2.2111441072457128,p30 - c1.6558603339498639 + p24 / p24 / p16 / p18 + c1.4736577588367683 
